# event_ticker=KXATPMATCH-26FEB22DUCSVR
# final_score=6-4 6-1
# match_winner=Dalibor Svrcina
# fav_player=Dalibor Svrcina
# dog_player=James Duckworth
# kalshi_date=2026-02-22
timestamp,Dalibor Svrcina,James Duckworth
2026-02-24T12:17:00Z,,42.00
2026-02-24T12:25:00Z,,42.00
2026-02-24T12:29:00Z,,42.00
2026-02-24T12:37:00Z,,42.00
2026-02-24T12:43:00Z,,42.00
2026-02-24T12:44:00Z,58.00,42.00
2026-02-24T13:09:00Z,58.00,44.00
2026-02-24T13:36:00Z,58.00,44.00
2026-02-24T13:48:00Z,58.00,42.00
2026-02-24T14:27:00Z,58.00,42.00
2026-02-24T14:47:00Z,57.88,42.00
2026-02-24T14:51:00Z,58.27,42.00
2026-02-24T14:53:00Z,58.00,42.00
2026-02-24T15:00:00Z,58.00,42.00
2026-02-24T15:01:00Z,58.00,43.00
2026-02-24T15:04:00Z,58.00,43.00
2026-02-24T15:13:00Z,58.00,43.00
2026-02-24T15:33:00Z,58.00,43.00
2026-02-24T15:35:00Z,58.00,43.00
2026-02-24T15:36:00Z,58.00,43.00
2026-02-24T15:41:00Z,59.00,43.00
2026-02-24T15:47:00Z,59.00,43.00
2026-02-24T15:50:00Z,58.00,43.00
2026-02-24T15:52:00Z,58.00,42.00
2026-02-24T15:54:00Z,59.00,42.00
2026-02-24T15:55:00Z,59.00,41.00
2026-02-24T16:11:00Z,59.00,41.00
2026-02-24T16:19:00Z,59.00,43.00
2026-02-24T16:44:00Z,59.00,41.00
2026-02-24T16:50:00Z,59.00,41.00
2026-02-24T16:56:00Z,59.00,41.00
2026-02-24T17:03:00Z,59.00,41.00
2026-02-24T17:05:00Z,59.00,41.00
2026-02-24T17:09:00Z,59.00,41.00
2026-02-24T17:10:00Z,58.15,41.00
2026-02-24T17:12:00Z,59.00,41.00
2026-02-24T17:17:00Z,59.00,41.00
2026-02-24T17:32:00Z,59.00,41.00
2026-02-24T17:49:00Z,59.00,42.00
2026-02-24T17:56:00Z,59.00,42.00
2026-02-24T18:04:00Z,59.00,42.00
2026-02-24T18:07:00Z,59.00,42.00
2026-02-24T18:17:00Z,59.00,42.00
2026-02-24T18:20:00Z,59.00,42.00
2026-02-24T18:22:00Z,59.00,42.00
2026-02-24T18:29:00Z,59.00,42.00
