# event_ticker=KXATPCHALLENGERMATCH-26FEB11BOUNAR
# final_score=6-4 4-6 7-6(5)
# score_resolution=4-6 6-4 6-7
# match_winner=Arthur Bouquier
# fav_player=Luca Nardi
# dog_player=Arthur Bouquier
# kalshi_date=2026-02-11
timestamp,Luca Nardi,Arthur Bouquier
2026-02-11T07:30:00Z,78.00,
2026-02-11T12:16:00Z,78.00,
2026-02-11T12:37:00Z,78.00,23.00
2026-02-11T13:18:00Z,78.00,23.00
2026-02-11T13:34:00Z,78.00,24.00
2026-02-11T13:45:00Z,78.00,24.00
2026-02-11T13:56:00Z,78.00,24.00
2026-02-11T14:15:00Z,78.00,24.00
2026-02-11T14:34:00Z,78.00,24.00
2026-02-11T14:51:00Z,78.00,24.00
2026-02-11T14:54:00Z,78.00,24.00
2026-02-11T14:55:00Z,78.00,24.00
2026-02-11T14:56:00Z,78.00,24.00
2026-02-11T15:00:00Z,78.00,24.00
2026-02-11T15:18:00Z,78.00,24.00
2026-02-11T15:24:00Z,78.00,24.00
2026-02-11T15:29:00Z,78.00,24.00
2026-02-11T15:34:00Z,77.00,24.00
2026-02-11T15:54:00Z,77.00,26.00
2026-02-11T16:10:00Z,77.00,27.00
2026-02-11T16:13:00Z,74.00,27.00
2026-02-11T16:31:00Z,74.00,27.00
2026-02-11T16:33:00Z,74.00,27.00
2026-02-11T16:39:00Z,74.00,27.00
2026-02-11T17:14:00Z,74.00,27.00
2026-02-11T17:26:00Z,74.00,27.00
2026-02-11T17:28:00Z,74.00,27.00
2026-02-11T17:41:00Z,73.00,27.00
2026-02-11T17:42:00Z,73.00,27.00
2026-02-11T17:50:00Z,73.00,27.00
2026-02-11T17:57:00Z,73.00,27.00
2026-02-11T17:59:00Z,73.00,27.00
2026-02-11T18:04:00Z,73.00,27.00
2026-02-11T18:05:00Z,73.00,28.00
2026-02-11T18:06:00Z,73.00,28.00
2026-02-11T18:07:00Z,73.00,28.00
2026-02-11T18:10:00Z,73.00,28.00
2026-02-11T18:11:00Z,73.00,28.00
2026-02-11T18:14:00Z,73.00,28.00
2026-02-11T18:15:00Z,73.00,28.00
2026-02-11T18:16:00Z,73.00,28.00
2026-02-11T18:19:00Z,73.00,28.00
2026-02-11T18:20:00Z,73.00,28.00
2026-02-11T18:22:00Z,73.00,28.00
2026-02-11T18:25:00Z,73.00,28.00
2026-02-11T18:26:00Z,74.00,28.00
2026-02-11T18:27:00Z,73.59,28.00
2026-02-11T18:29:00Z,73.59,28.00
2026-02-11T18:34:00Z,73.00,28.00
2026-02-11T18:36:00Z,74.00,28.00
2026-02-11T18:37:00Z,74.58,28.93
2026-02-11T18:40:00Z,74.00,28.93
2026-02-11T18:42:00Z,74.00,29.00
2026-02-11T18:43:00Z,73.00,29.00
2026-02-11T18:46:00Z,73.56,29.00
2026-02-11T18:47:00Z,73.00,29.00
2026-02-11T18:48:00Z,73.00,29.00
2026-02-11T18:49:00Z,73.00,29.00
2026-02-11T18:51:00Z,73.00,29.00
2026-02-11T18:53:00Z,72.00,29.00
2026-02-11T18:54:00Z,72.00,29.00
2026-02-11T18:56:00Z,72.00,29.00
2026-02-11T18:57:00Z,72.07,30.00
2026-02-11T18:58:00Z,72.87,30.00
2026-02-11T18:59:00Z,72.98,30.00
2026-02-11T19:00:00Z,72.99,30.00
2026-02-11T19:01:00Z,72.88,30.00
2026-02-11T19:02:00Z,72.00,30.00
2026-02-11T19:03:00Z,73.04,29.97
2026-02-11T19:04:00Z,73.77,27.00
2026-02-11T19:05:00Z,73.00,29.00
2026-02-11T19:06:00Z,72.00,29.33
2026-02-11T19:07:00Z,72.00,30.00
2026-02-11T19:08:00Z,72.00,30.00
2026-02-11T19:09:00Z,72.00,30.00
2026-02-11T19:10:00Z,74.44,28.65
