# event_ticker=KXATPCHALLENGERMATCH-26APR14TROWAL
# final_score=6-4 6-7(2) 6-3
# score_resolution=6-4 6-7 6-3
# match_winner=Adam Walton
# fav_player=Adam Walton
# dog_player=James Kent Trotter
# kalshi_date=2026-04-14
timestamp,Adam Walton,James Kent Trotter
2026-04-14T14:22:00Z,76.00,
2026-04-14T16:13:00Z,78.00,
2026-04-14T16:17:00Z,78.00,
2026-04-14T16:54:00Z,78.00,
2026-04-14T17:04:00Z,78.00,
2026-04-14T17:10:00Z,78.00,
2026-04-14T17:54:00Z,78.00,23.00
2026-04-14T18:41:00Z,78.00,23.00
2026-04-14T18:57:00Z,78.00,23.00
2026-04-14T19:31:00Z,78.00,22.00
2026-04-14T19:34:00Z,78.00,23.00
2026-04-14T19:39:00Z,79.00,23.00
2026-04-14T19:50:00Z,79.00,23.00
2026-04-14T21:38:00Z,79.00,23.00
2026-04-14T21:39:00Z,79.00,23.00
2026-04-14T21:41:00Z,79.00,23.00
2026-04-14T21:53:00Z,79.00,23.00
2026-04-14T21:55:00Z,79.00,23.00
2026-04-14T22:37:00Z,79.00,21.00
2026-04-14T22:45:00Z,79.00,21.00
2026-04-14T22:53:00Z,79.00,21.00
2026-04-14T22:56:00Z,79.00,21.00
2026-04-14T23:24:00Z,79.00,22.00
2026-04-14T23:31:00Z,79.00,22.00
2026-04-14T23:33:00Z,79.00,22.00
2026-04-14T23:55:00Z,79.00,22.00
2026-04-15T00:09:00Z,78.00,22.00
2026-04-15T00:11:00Z,78.00,22.57
2026-04-15T00:12:00Z,78.00,22.57
2026-04-15T00:16:00Z,78.00,22.57
2026-04-15T00:41:00Z,78.00,21.00
2026-04-15T01:04:00Z,78.00,23.00
2026-04-15T01:07:00Z,78.00,23.00
2026-04-15T01:08:00Z,78.00,23.00
2026-04-15T01:16:00Z,78.00,23.00
2026-04-15T01:17:00Z,78.00,23.00
2026-04-15T01:18:00Z,78.00,23.00
2026-04-15T01:21:00Z,78.00,23.00
2026-04-15T01:28:00Z,78.00,23.00
2026-04-15T01:31:00Z,78.00,23.00
2026-04-15T01:34:00Z,78.00,23.00
2026-04-15T01:35:00Z,79.00,23.00
2026-04-15T01:36:00Z,79.00,23.00
2026-04-15T01:38:00Z,79.00,23.00
2026-04-15T01:46:00Z,79.00,23.00
2026-04-15T01:47:00Z,79.00,22.00
2026-04-15T01:49:00Z,79.00,23.00
2026-04-15T01:50:00Z,79.00,23.00
2026-04-15T01:51:00Z,79.00,23.00
2026-04-15T01:52:00Z,79.28,23.00
2026-04-15T01:54:00Z,79.28,23.00
2026-04-15T01:55:00Z,79.28,23.00
2026-04-15T01:58:00Z,79.28,23.00
2026-04-15T02:00:00Z,79.28,23.00
2026-04-15T02:02:00Z,80.00,23.00
2026-04-15T02:04:00Z,79.00,22.00
2026-04-15T02:06:00Z,79.00,23.00
2026-04-15T02:07:00Z,79.00,23.00
2026-04-15T02:08:00Z,78.00,23.00
